"","data_code","death_rate","age","race"
"387","SE_T040_002",NA,"18 to 44 Years","White"
"388","SE_T040_002",NA,"18 to 44 Years","White"
"389","SE_T040_002",NA,"18 to 44 Years","White"
"390","SE_T040_002",NA,"18 to 44 Years","White"
"391","SE_T040_002",NA,"18 to 44 Years","White"
"392","SE_T040_002",NA,"18 to 44 Years","White"
"393","SE_T040_002",NA,"18 to 44 Years","White"
"394","SE_T040_002",NA,"18 to 44 Years","White"
"395","SE_T040_002",NA,"18 to 44 Years","White"
"396","SE_T040_002",NA,"18 to 44 Years","White"
"397","SE_T040_002",NA,"18 to 44 Years","White"
"398","SE_T040_002",NA,"18 to 44 Years","White"
"399","SE_T040_002",NA,"18 to 44 Years","White"
"400","SE_T040_002",NA,"18 to 44 Years","White"
"401","SE_T040_002",NA,"18 to 44 Years","White"
"402","SE_T040_002",NA,"18 to 44 Years","White"
"403","SE_T040_002",NA,"18 to 44 Years","White"
"404","SE_T040_002",NA,"18 to 44 Years","White"
"405","SE_T040_002",NA,"18 to 44 Years","White"
"406","SE_T040_002",NA,"18 to 44 Years","White"
"407","SE_T040_002",NA,"18 to 44 Years","White"
"408","SE_T040_002",NA,"18 to 44 Years","White"
"409","SE_T040_002",NA,"18 to 44 Years","White"
"410","SE_T040_002",1.3,"18 to 44 Years","White"
"411","SE_T040_002",NA,"18 to 44 Years","White"
"412","SE_T040_002",NA,"18 to 44 Years","White"
"413","SE_T040_002",NA,"18 to 44 Years","White"
"414","SE_T040_002",NA,"18 to 44 Years","White"
"415","SE_T040_002",NA,"18 to 44 Years","White"
"416","SE_T040_002",NA,"18 to 44 Years","White"
"417","SE_T040_002",NA,"18 to 44 Years","White"
"418","SE_T040_002",NA,"18 to 44 Years","White"
"419","SE_T040_002",NA,"18 to 44 Years","White"
"420","SE_T040_002",NA,"18 to 44 Years","White"
"421","SE_T040_002",NA,"18 to 44 Years","White"
"422","SE_T040_002",NA,"18 to 44 Years","White"
"423","SE_T040_002",NA,"18 to 44 Years","White"
"424","SE_T040_002",NA,"18 to 44 Years","White"
"425","SE_T040_002",NA,"18 to 44 Years","White"
"426","SE_T040_002",NA,"18 to 44 Years","White"
"427","SE_T040_002",2.4,"18 to 44 Years","White"
"428","SE_T040_002",NA,"18 to 44 Years","White"
"429","SE_T040_002",NA,"18 to 44 Years","White"
"430","SE_T040_002",NA,"18 to 44 Years","White"
"431","SE_T040_002",NA,"18 to 44 Years","White"
"432","SE_T040_002",NA,"18 to 44 Years","White"
"433","SE_T040_002",NA,"18 to 44 Years","White"
"434","SE_T040_002",NA,"18 to 44 Years","White"
"435","SE_T040_002",NA,"18 to 44 Years","White"
"436","SE_T040_002",NA,"18 to 44 Years","White"
"437","SE_T040_002",NA,"18 to 44 Years","White"
"438","SE_T040_002",NA,"18 to 44 Years","White"
"439","SE_T040_002",NA,"18 to 44 Years","White"
"440","SE_T040_002",NA,"18 to 44 Years","White"
"441","SE_T040_002",NA,"18 to 44 Years","White"
"442","SE_T040_002",NA,"18 to 44 Years","White"
"443","SE_T040_002",NA,"18 to 44 Years","White"
"444","SE_T040_002",NA,"18 to 44 Years","White"
"445","SE_T040_002",NA,"18 to 44 Years","White"
"446","SE_T040_002",NA,"18 to 44 Years","White"
"447","SE_T040_002",NA,"18 to 44 Years","White"
"448","SE_T040_002",NA,"18 to 44 Years","White"
"449","SE_T040_002",NA,"18 to 44 Years","White"
"450","SE_T040_002",NA,"18 to 44 Years","White"
"451","SE_T040_002",NA,"18 to 44 Years","White"
"452","SE_T040_002",NA,"18 to 44 Years","White"
"453","SE_T040_002",NA,"18 to 44 Years","White"
"454","SE_T040_002",NA,"18 to 44 Years","White"
"455","SE_T040_002",NA,"18 to 44 Years","White"
"456","SE_T040_002",NA,"18 to 44 Years","White"
"457","SE_T040_002",NA,"18 to 44 Years","White"
"458","SE_T040_002",NA,"18 to 44 Years","White"
"459","SE_T040_002",NA,"18 to 44 Years","White"
"460","SE_T040_002",NA,"18 to 44 Years","White"
"461","SE_T040_002",NA,"18 to 44 Years","White"
"462","SE_T040_002",NA,"18 to 44 Years","White"
"463","SE_T040_002",NA,"18 to 44 Years","White"
"464","SE_T040_002",NA,"18 to 44 Years","White"
"465","SE_T040_002",NA,"18 to 44 Years","White"
"466","SE_T040_002",NA,"18 to 44 Years","White"
"467","SE_T040_002",NA,"18 to 44 Years","White"
"468","SE_T040_002",NA,"18 to 44 Years","White"
"469","SE_T040_002",NA,"18 to 44 Years","White"
"470","SE_T040_002",NA,"18 to 44 Years","White"
"471","SE_T040_002",NA,"18 to 44 Years","White"
"472","SE_T040_002",NA,"18 to 44 Years","White"
"473","SE_T040_002",NA,"18 to 44 Years","White"
"474","SE_T040_002",NA,"18 to 44 Years","White"
"475","SE_T040_002",NA,"18 to 44 Years","White"
"476","SE_T040_002",NA,"18 to 44 Years","White"
